Hourly Precipitation (in),Hourly Radiation (W/m2),Temperature (C)
0,682,24.3
0,1069,25.8
0,1381,27.1
0,1597,28
0,1232,28.6
0.0125,1769,28.9
0.0125,1535,29.1
0.0125,1590,29.2
0.0125,1494,28.9
0.0125,1482,28.6
0.0125,1301,28.1
0.0125,989,27.8
0.0125,601,25.9
0.0125,122,24.7
0.0125,0,24
0.0125,0,23.5
0.0125,0,23.1
0.0125,0,22.6
0.0125,0,22.1
0.0125,0,21.7
0.0125,0,21.2
0.0125,0,20.8
0.0125,0,21
0.0125,195,22
0.0125,522,23.4
0.0125,413,25.5
0.0125,1264,27.6
0.0125,1698,28.8
0.0125,1842,29.5
0,1944,30
0,1898,30.2
0,1556,30.3
0,1303,30
0,1264,29.5
0,1164,28.7
0,736,28.3
0,574,26
