Hourly Precipitation (in),Hourly Radiation (W/m2),Temperature (C)
0,761,23
0,259,21.3
0,0,20.5
0,0,20.1
0,0,19.7
0,0,19.3
0,0,18.9
0,0,18.4
0,0,18
0,0,17.5
0,0,17.5
0,508,18.4
0,956,20.1
0,1295,22.2
0,1567,23.7
0,1784,24.5
0,1935,25.1
0,2018,25.5
0,2032,25.8
0,1980,25.7
0,1863,25.5
0,1690,24.9
0,1459,24.1
0,1171,23.5
0,806,21.1
0,277,19.4
0,0,18.4
0,0,17.7
0,0,17
0,0,16.4
0,0,15.8
0,0,15.3
0,0,14.8
0,0,14.3
0,0,14.7
0,525,16.3
0,965,18.4
0,1293,20.7
0,1559,22.1
0,1759,23
0,1906,23.8
0,1993,24.3
0,2010,24.7
0,1962,25
0,1848,24.9
0,1676,24.5
0,1446,23.9
0,1157,23.5
0,793,20.7
0,272,18.3
0,0,17
0,0,16.2
0,0,15.5
0,0,14.8
0,0,14.2
0,0,13.6
0,0,13.1
0,0,12.7
0,0,13.3
0,511,15.1
0,964,17.2
0,1296,19.9
0,1563,22.3
0,1773,23.5
0,1920,24.4
0,2007,25.1
0,2026,25.6
0,1978,26
0,1865,26.1
0,1690,25.8
0,1462,25.3
0,1169,25
0,113,23.9
0,29,23.1
0,0,22.6
0,0,22.3
0,0,22.1
0,0,21.9
0,0,21.8
0,0,21.7
0,0,21.6
0,0,21.5
0,0,21.6
0,22,22.1
0,56,22.9
0,92,23.8
0,861,24.9
0,1254,25.8
0,1033,26.6
0,1056,27.3
0,1440,27.8
0,1359,28.1
0,1113,28.1
0,994,27.7
0,757,27.1
0,753,26.8
0,353,25.2
0,53,24
0,0,23.3
0,0,22.9
0,0,22.5
0,0,22.2
0,0,21.9
0,0,21.7
0,0,21.5
0,0,21.3
0,0,21.6
0,174,22.8
